cresh,total,9_prefer_warmer,10_neutral,11_prefer_cooler,total_w/o_blanks,prefer_warmer,no_change,prefer_cooler
37,3,0,3,0,3,0%,100%,0%
4,133,0,128,1,129,0%,99%,1%
29,107,4,92,5,101,4%,91%,5%
27,85,22,52,5,79,28%,66%,6%
14,128,17,88,9,114,15%,77%,8%
7,112,9,87,9,105,9%,83%,9%
26,120,6,91,13,110,5%,83%,12%
6,289,113,128,37,278,41%,46%,13%
8,158,2,127,20,149,1%,85%,13%
20,89,20,51,12,83,24%,61%,14%
16,116,4,90,16,110,4%,82%,15%
3,109,16,74,16,106,15%,70%,15%
19,91,12,59,15,86,14%,69%,17%
24,116,18,75,21,114,16%,66%,18%
39,41,3,27,7,37,8%,73%,19%
30,86,11,51,15,77,14%,66%,19%
17,49,20,17,9,46,43%,37%,20%
23,99,15,58,18,91,16%,64%,20%
40,8,1,3,1,5,20%,60%,20%
1,167,27,101,32,160,17%,63%,20%
35,97,15,56,19,90,17%,62%,21%
5,153,4,109,36,149,3%,73%,24%
25,75,17,35,18,70,24%,50%,26%
22,85,20,37,21,78,26%,47%,27%
18,121,9,74,32,115,8%,64%,28%
10,126,9,71,37,117,8%,61%,32%
21,116,1,74,37,112,1%,66%,33%
11,118,8,61,40,109,7%,56%,37%
28,110,13,48,44,105,12%,46%,42%
2,170,58,30,64,152,38%,20%,42%
9,111,4,53,43,100,4%,53%,43%
12,165,4,58,92,154,3%,38%,60%
13,109,1,39,61,101,1%,39%,60%
15,125,8,38,75,121,7%,31%,62%
36,16,0,1,14,15,0%,7%,93%
